"","time","lat","long","site.name","fagus","quercus","picea","tsuga","pinus","alnus","cyperaceae","ambrosia"
"1",-21000,27.58613,-81.503395,"Lake Tulane",0.025879917184265,4.0469886035482,0,0,9.28688457623217,0,0.540739329338926,4.37247713064763
"2",-21000,32.466667,-93.166667,"Rayburn's Dome",0,17,1,0,15,0,0,14
"3",-21000,33.660655,-117.3534,"Lake Elsinore",0,2.7383051550669,0,0,18.0799018082495,0,3.0334854613975,0
"4",-21000,33.7,-108.3,"Mayberry Well",0,0,3.13725490196078,0,43.1372549019608,0,0,0
"5",-21000,33.866667,-108.25,"San Agustin Plains",0,0,15.8,0,83,0,0,0
"6",-21000,34.16759,-80.77616,"White Pond",0,2.21238938053097,1.65929203539823,0,62.7212389380531,0.221238938053097,0,0
"7",-21000,34.323611,-84.868056,"Bob Black Pond",0,3.03951367781155,4.55927051671733,0,69.9088145896657,0.303951367781155,3.3434650455927,0.303951367781155
"8",-21000,34.462222,-111.345278,"Potato Lake",0,0.21505376344086,15.9139784946237,0,16.7741935483871,0,0,3.01075268817204
"9",-21000,35.0833333333333,-89.9166666666667,"Nonconnah Creek [TN-1]",0.460829493087558,8.98617511520737,52.5345622119816,0,2.99539170506912,0.691244239631336,5.76036866359447,0.230414746543779
"10",-21000,35.981944,-108.810833,"Whiskey Lake",0,0.209205020920502,0.209205020920502,0,12.7615062761506,0,0.418410041841004,3.97489539748954
"11",-21000,36.005556,-108.833333,"Long Lake",0,0.731261425959781,1.82815356489945,0,21.7550274223035,0,0,0.914076782449726
"12",-21000,36.03015,-85.50132,"Anderson Pond",0,0.208629105315107,5.75754810097486,0,89.0351072891737,0.104314552657554,2.91262726645844,0
"13",-21000,36.052,-119.78,"Tulare Lake",0,0.284650795449975,0,0.0917431192660551,12.4076275966519,0,14.1606093912213,0.199559975218821
"14",-21000,37.3666666666667,-110.866666666667,"Bechan Cave",0,0,0.480769230769231,0,12.5,0,0.480769230769231,0
"15",-21000,37.4235,-119.5785,"Nichols Meadow",0,0,0,0,30.1630434782609,0,0,0
"16",-21000,38.0302777777778,-76.2144444444444,"Chesapeake Bay (MD99-2207)",0,46.4360451018907,0.357982699252541,4.35537115887417,25.6391422237071,1.54546086401587,2.11081742964611,1.77229392472961
"17",-21000,38.111944,-93.366944,"Boney Spring",0,0.501683501683502,4.51010101010101,0,40.5084175084175,0,18.4225589225589,2.17676767676768
"18",-21000,39.495,-95.526667,"Arrington Marsh",0,0.355871886120996,58.3629893238434,0,6.93950177935943,0.533807829181495,17.9715302491103,0.177935943060498
"19",-21000,40.00091,-105.556875,"Devlins Park",0,0,1.06666666666667,0,13.3333333333333,0,1.06666666666667,0.266666666666667
"20",-21000,41.13395,-115.5049,"Ruby Marsh",0,0,0,0,3.60863095238095,0,0.260416666666667,0.0744047619047619
"21",-21000,41.23687,-74.1833,"Spruce Pond",0,1.36986301369863,0.684931506849315,0,20.2054794520548,11.986301369863,26.3698630136986,0
"22",-21000,41.391389,-74.037778,"Sutherland Pond",0,2.94117647058824,0,0,11.7647058823529,1.96078431372549,55.8823529411765,0
"23",-21000,41.6496,-122.16715,"Grass Lake",0,0.124485213383021,0.315175364054111,0.693757899189018,44.4478270030417,0.205832079756057,0.927760423907814,0.0144300144300144
"24",-21000,41.78575,-73.90115,"Hyde Park",0,3.58306188925081,14.4951140065147,0,33.2247557003257,7.00325732899023,13.1921824104235,0
"25",-21000,41.98435,-111.33339,"Bear Lake",0,2.8735632183908,3.44827586206897,0,25.8620689655172,0,4.59770114942529,1.72413793103448
"26",-21000,43.06619,-111.43795,"Grays Lake",0,0,1.0477267830209,0,33.1061911944265,0,13.1329454858867,0
"27",-21000,43.4645833333334,-79.9154166666667,"Kilbride Swamp",0,7.92079207920792,0,0,81.1881188118812,0,0,0
"28",-21000,43.4677777777778,-79.9868055555556,"Rife Swamp",0,5.88235294117647,50.3676470588235,0,11.7647058823529,0,15.4411764705882,1.83823529411765
"29",-21000,45.918056,-120.880556,"Carp Lake",0,0,3.1496062992126,0,16.010498687664,0,1.0498687664042,0
"30",-21000,46.591667,-122.25,"Davis Lake",0,0,10.168173141323,3.23221327280413,11.5360637100775,2.55203176239198,7.63621484007821,0
"31",-21000,47.481667,-70.684722,"Lac à l'Ange",0,1.44648023143684,3.76084860173578,0,5.97878495660559,1.7357762777242,1.54291224686596,0.0964320154291225
"32",-21000,55.047975,-105.385195,"Marl Pond",0,0,35.9550561797753,0,1.68539325842697,0.561797752808989,2.52808988764045,1.12359550561798
"33",-20500,27.58613,-81.503395,"Lake Tulane",0,10.3701458734912,0.0090711175616836,0,4.55624924399166,0.0698748716101859,1.08466706639874,6.39582976483272
"34",-20500,30.366667,-97.116667,"Patschke Bog",0,16.9082125603865,2.41545893719807,0,2.89855072463768,9.66183574879227,0,0
"35",-20500,30.962778,-91.519444,"Tunica Bayou Site 22",5.04201680672269,5.32212885154062,55.4621848739496,0,8.68347338935574,0,0,1.40056022408964
"36",-20500,33.660655,-117.3534,"Lake Elsinore",0,3.39066189748576,0.197075982775385,0,28.4214821502987,0,1.44280745010881,0
"37",-20500,33.798895,-78.95336,"Clear Pond",0,0.458400183360073,0.0327428702400052,0.0327428702400052,3.41344422252055,0.0491143053600079,0.229200091680037,0.147342916080024
"38",-20500,33.866667,-108.25,"San Agustin Plains",0,0,14.1317269076305,0,85.6674698795181,0,0,0
"39",-20500,34,-109.425,"Hay Lake",0,2.62390670553936,4.95626822157434,0,47.2303206997085,0,1.16618075801749,0.583090379008746
"40",-20500,34.16759,-80.77616,"White Pond",0,0.584795321637427,3.94736842105263,0,86.6959064327485,0,0.292397660818713,0.292397660818713
"41",-20500,34.323611,-84.868056,"Bob Black Pond",0.294117647058824,0.882352941176471,1.47058823529412,0,75.8823529411765,0.294117647058824,1.47058823529412,0
"42",-20500,34.462222,-111.345278,"Potato Lake",0,0.712589073634204,23.5154394299287,0,9.97624703087886,0.237529691211401,0.712589073634204,2.61282660332542
"43",-20500,35.0833333333333,-89.9166666666667,"Nonconnah Creek [TN-1]",0,3.35463258785942,36.5814696485623,0.159744408945687,2.07667731629393,0.798722044728434,5.91054313099042,0
"44",-20500,35.968889,-108.808333,"Utricularia Lake",0,0.241545893719807,17.3913043478261,0,21.9806763285024,0,3.38164251207729,1.20772946859903
"45",-20500,36.03015,-85.50132,"Anderson Pond",0,0.0908265213442325,5.44959128065395,0.0908265213442325,88.1017257039055,0.272479564032698,2.08900999091735,0
"46",-20500,36.2375,-108.951667,"Dead Man Lake",0,0.298953662182362,4.78325859491779,0,25.8594917787743,0,0,0.298953662182362
"47",-20500,37.3666666666667,-110.866666666667,"Bechan Cave",0,0.605062770117308,0.309359747344243,0,14.944096356767,0,0.758665985736028,0.154320987654321
"48",-20500,37.43255,-85.72462,"Jackson Pond",0,3.39933415204564,31.1466941924885,0,50.7915849060409,0.483847736193908,2.41976655798288,0.292540363435023
